id,id,dist,x0,y0,z0,absmag,mag,vx,vy,vz,spect,sy_pnum
694,43,126.3362,64.007,0.144,108.922,0.672,6.18,-4.82E-06,-4.99E-05,-3.67E-05,G,0
707,0,387.5049,311.351,0.706,230.695,1.89,9.831,4.0195739826e-06,-1.42E-05,-5.38E-06,F,0
720,0,122.5222,121.186,0.281,18.044,3.031,8.472,1.7008327032399998e-05,3.4094326991999998e-06,-1.73E-06,F,0
721,44,260.0691,259.636,0.602,-14.999,0.835,7.91,8.595122601999999e-06,1.6510607091e-05,2.09645362586e-05,K,0
726,0,171.1373,63.416,0.147,158.954,3.49,9.657,1.3316818966e-06,-1.19E-05,-5.20E-07,F,0
728,0,759.1197,374.867,0.872,660.104,0.511,9.913,4.706366181e-06,-2.06E-05,-2.65E-06,B,0
730,45,65.6197,20.057,0.047,-62.479,5.505,9.59,-6.76E-07,-1.19E-05,-2.26E-07,G,0
736,0,246.6406,224.059,0.526,-103.096,2.702,9.662,-4.17E-05,0.000128024,-4.68E-05,G,0
737,46,341.7447,308.138,0.724,-147.783,0.901,8.57,-6.10E-06,2.70659490926e-05,-2.24E-05,K,0
744,48,362.2649,274.684,0.648,-236.187,-0.485,7.31,-4.96E-07,6.160689541599999e-06,-2.85E-05,K,0
753,0,911.5102,299.274,0.716,860.979,-1.057,8.742,7.512811682199999e-06,-6.69E-06,-8.04E-06,K,0
763,49,286.0545,274.033,0.668,82.053,2.248,9.53,-4.20E-06,3.50386662648e-05,7.642607231599998e-06,F,0
787,50,60.4848,36.318,0.091,-48.367,2.582,6.49,-1.43E-05,1.5436472268799997e-05,9.6661913876e-06,G,0
791,51,330.8457,330.787,0.828,6.156,1.342,8.94,1.4295906653599998e-05,1.67477139214e-05,1.26893034752e-05,G,0
803,0,211.4147,173.753,0.439,-120.44,3.312,9.938,-1.38E-05,4.65608318076e-05,1.60527456254e-05,G,0
806,0,233.0567,141.433,0.359,-185.235,2.42,9.257,-5.91E-06,-1.43E-05,-4.54E-06,K,0
811,0,294.868,232.799,0.594,180.974,2.066,9.414,-2.38E-06,-1.07E-05,-1.91E-05,K,0
816,52,212.0586,47.63,0.122,-206.64,1.928,8.56,8.477591199e-06,2.0741737599e-05,2.2249205594e-06,A,0
844,0,65.9991,52.938,0.138,39.414,5.108,9.206,-8.09E-06,2.50403209122e-05,-1.65E-05,G,0
862,0,164.685,152.798,0.413,61.431,3.535,9.618,3.63867003566e-05,5.11098081098e-05,1.2964224757e-05,F,0
876,55,67.0831,26.552,0.074,-61.604,3.267,7.4,-7.12E-06,5.55238788016e-05,-6.87E-06,G,0
891,56,598.6682,598.661,1.702,2.329,-0.766,8.12,-3.89E-05,0.000113941,-6.50E-06,K,0
909,0,528.9786,528.08,1.536,30.786,0.975,9.592,6.191349907599999e-06,-8.57E-06,-1.98E-05,K,0
920,57,29.304,10.178,0.03,-27.48,5.935,8.27,4.0205959948e-06,-5.75E-06,-3.85E-05,K,0
921,0,840.0418,545.32,1.6,638.979,-0.145,9.477,-1.97E-05,2.41021137126e-05,-1.63E-05,M,0
943,58,38.3071,17.88,0.054,33.878,4.134,7.05,9.0407199212e-06,-8.69E-06,-2.03E-07,G,0
948,0,132.835,128.286,0.389,34.464,3.748,9.365,-1.11E-05,-1.14E-05,-3.69E-05,G,0
954,59,2040.0009,1148.928,3.498,1685.692,-2.458,9.09,-7.73E-06,-2.11E-05,-2.68E-05,K,0
959,60,151.8267,65.445,0.2,-136.997,2.433,8.34,3.152907637e-06,1.7251565935999998e-06,1.29724008546e-05,F,0
962,61,178.8909,105.598,0.325,144.399,2.597,8.86,1.15957504212e-05,2.8359816537799995e-05,-8.54E-06,K,0
968,0,244.894,201.243,0.621,-139.549,2.974,9.919,5.115171061e-06,1.3230969941199998e-05,-8.40E-06,F,0
978,0,134.9916,124.563,0.388,-52.024,2.877,8.529,-3.13E-07,9.19882520854e-05,-1.60E-05,G,0
985,62,331.9141,232.96,0.732,-236.424,0.665,8.27,4.8279856328e-06,4.6920580102e-06,-2.06E-05,G,0
989,0,624.9981,188.225,0.594,-595.981,0.942,9.921,2.7614769644e-05,2.94523475796e-05,3.19358372256e-05,K,0
994,63,179.264,126.196,0.4,127.318,0.093,6.36,-2.58E-06,1.5403767878399996e-05,-1.81E-06,A,0
1006,64,263.9383,233.242,0.751,-123.535,0.972,8.08,2.14847404684e-05,-1.15E-05,-3.41E-05,K,0
1020,66,118.8996,36.113,0.119,-113.283,3.174,8.55,6.783094971399999e-06,-9.40E-06,3.4227188578e-06,F,0
1029,0,192.3711,174.933,0.581,80.029,2.785,9.206,-3.08E-05,-3.80E-05,-5.32E-05,F,0
1030,0,188.7825,187.169,0.622,-24.618,3.303,9.683,-7.37E-06,-2.26E-05,-1.77E-05,A,0
1044,0,186.4874,145.87,0.492,116.186,2.788,9.141,1.62152455652e-05,-7.13E-06,-5.38E-06,F,0
1061,0,233.0901,232.887,0.801,9.699,2.712,9.55,1.0250782365999998e-06,6.76326793472e-05,-2.33E-05,F,0
1064,0,605.3792,597.044,2.063,-100.094,0.759,9.669,1.706760374e-07,5.1182370976e-06,1.1694885604599998e-05,G,0
1067,67,139.3257,127.732,0.444,55.641,2.11,7.83,-7.25E-06,6.0830166144e-05,-1.19E-05,F,0
1074,68,31.5856,30.207,0.106,9.228,6.293,8.79,-7.23E-06,-1.53E-05,-5.28E-05,K,0
1075,0,181.6978,171.185,0.599,60.904,2.833,9.13,-4.07E-06,-1.56E-05,-9.93E-06,F,0
1082,69,173.0071,149.226,0.525,87.537,2.14,8.33,3.1365554417999995e-06,1.2124130728599998e-05,-2.71E-07,A,0
1113,71,150.6009,120.621,0.436,90.172,2.371,8.26,5.6333312464e-06,-1.80E-05,-1.62E-05,G,0
1117,0,525.0449,465.344,1.686,243.156,1.249,9.85,1.37440200656e-05,2.73500684842e-05,-8.65E-06,G,0
1126,0,1451.5302,917.128,3.355,1125.08,-0.957,9.852,1.0490955233e-05,-2.04E-05,-8.49E-06,B,0
1142,0,598.0645,17.447,0.065,-597.81,0.554,9.438,6.1821517978e-06,3.10170482578e-05,2.5744487318e-06,A,0
1147,0,636.6357,377.833,1.406,512.392,0.508,9.527,-2.33E-05,-1.06E-05,-8.25E-05,K,0
1154,0,250.8266,54.012,0.202,244.942,2.107,9.104,1.21956715826e-05,-1.61E-05,-2.93E-05,F,0
1158,0,1082.7192,446.467,1.68,-986.38,-0.744,9.429,1.85270371616e-05,3.0956749538e-05,-1.16E-05,K,0
1165,0,227.6832,208.403,0.79,91.69,2.441,9.228,-7.05E-06,-9.29E-06,-7.41E-06,F,0
1178,72,87.4668,85.283,0.327,-19.421,4.261,8.97,-3.99E-05,7.976600818559999e-05,-4.29E-05,G,0
1181,73,327.9135,128.925,0.496,301.505,-0.679,6.9,-3.04E-05,-3.49E-05,-2.02E-07,K,0
1183,0,386.447,239.629,0.922,303.18,0.815,8.75,-1.24E-05,-2.72E-05,-3.21E-05,K,0
