pl_name,hip_name,sy_pnum
GJ 1061 c,,3
GJ 1061 d,,3
GJ 1132 b,,2
GJ 1132 b,,2
GJ 1132 b,,2
GJ 1132 b,,2
GJ 1132 b,,2
GJ 1132 b,,2
GJ 1132 c,,2
GJ 1148 b,HIP 57050,2
GJ 1148 b,HIP 57050,2
GJ 1148 b,HIP 57050,2
GJ 1148 c,HIP 57050,2
GJ 1148 c,HIP 57050,2
GJ 1151 c,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1214 b,,1
GJ 1252 b,,1
GJ 1252 b,,1
GJ 1252 b,,1
GJ 1252 b,,1
GJ 1252 b,,1
GJ 1252 b,,1
GJ 1265 b,,1
GJ 143 b,HIP 16069,2
GJ 143 b,HIP 16069,2
GJ 143 b,HIP 16069,2
GJ 15 A b,HIP 1475,2
GJ 15 A b,HIP 1475,2
GJ 15 A b,HIP 1475,2
GJ 15 A c,HIP 1475,2
GJ 160.2 b,HIP 19165,1
GJ 163 b,HIP 19394,3
GJ 163 c,HIP 19394,3
GJ 163 d,HIP 19394,3
GJ 179 b,HIP 22627,1
GJ 179 b,HIP 22627,1
GJ 179 b,HIP 22627,1
GJ 180 b,HIP 22762,3
GJ 180 b,HIP 22762,3
GJ 180 c,HIP 22762,3
GJ 180 d,HIP 22762,3
GJ 2030 b,,2
GJ 2030 c,,2
GJ 2056 b,HIP 34785,1
GJ 229 A c,HIP 29295,2
GJ 229 A c,HIP 29295,2
GJ 229 b,HIP 29295,2
GJ 229 b,HIP 29295,2
GJ 229 b,HIP 29295,2
GJ 251 b,HIP 33226,1
GJ 27.1 b,HIP 3143,1
GJ 273 b,HIP 36208,2
GJ 273 c,HIP 36208,2
GJ 3021 b,HIP 1292,1
GJ 3082 b,HIP 5812,1
GJ 3090 b,HIP 6365,1
GJ 3090 b,HIP 6365,1
GJ 3138 b,HIP 10037,3
GJ 3138 c,HIP 10037,3
GJ 3138 d,HIP 10037,3
GJ 317 b,,2
GJ 317 b,,2
GJ 317 b,,2
GJ 317 b,,2
GJ 317 c,,2
GJ 317 c,,2
GJ 317 c,,2
GJ 317 c,,2
GJ 3222 b,HIP 15799,1
GJ 328 b,HIP 43790,2
GJ 328 b,HIP 43790,2
GJ 328 c,HIP 43790,2
GJ 3293 b,,4
GJ 3293 b,,4
GJ 3293 c,,4
GJ 3293 c,,4
GJ 3293 d,,4
GJ 3293 e,,4
GJ 3323 b,,2
GJ 3323 c,,2
GJ 3341 b,,1
GJ 338 B b,HIP 120005,1
GJ 338 B b,HIP 120005,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3470 b,,1
GJ 3473 b,,2
GJ 3473 b,,2
GJ 3473 c,,2
GJ 3512 b,,2
GJ 3512 b,,2
GJ 3512 c,,2
GJ 357 b,HIP 47103,3
GJ 357 b,HIP 47103,3
GJ 357 b,HIP 47103,3
GJ 357 b,HIP 47103,3
GJ 357 c,HIP 47103,3
GJ 357 d,HIP 47103,3
GJ 3634 b,,1
GJ 367 b,HIP 47780,3
GJ 367 b,HIP 47780,3
GJ 367 b,HIP 47780,3
GJ 367 c,HIP 47780,3
GJ 367 d,HIP 47780,3
GJ 3779 b,,1
GJ 3929 b,,2
GJ 3929 b,,2
GJ 3929 b,,2
GJ 3929 c,,2
GJ 393 b,HIP 51317,1
GJ 3942 b,HIP 79126,1
GJ 3988 b,,1
GJ 3998 b,HIP 84460,2
GJ 3998 c,HIP 84460,2
GJ 411 b,HIP 54035,2
GJ 411 b,HIP 54035,2
GJ 411 b,HIP 54035,2
GJ 411 b,HIP 54035,2
GJ 414 A b,HIP 54646,2
GJ 414 A b,HIP 54646,2
GJ 414 A c,HIP 54646,2
GJ 414 A c,HIP 54646,2
GJ 422 b,HIP 55042,1
GJ 422 b,HIP 55042,1
GJ 4276 b,,1
GJ 433 b,HIP 56528,3
GJ 433 b,HIP 56528,3
GJ 433 b,HIP 56528,3
GJ 433 b,HIP 56528,3
GJ 433 c,HIP 56528,3
GJ 433 c,HIP 56528,3
GJ 433 d,HIP 56528,3
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
GJ 436 b,HIP 57087,1
